CHARGE1STATUTE,CHARGE1DESCRIPTION,OffenseDescription,OffenseDescription2,OffenseType,OffenseTypeSort
720 ILCS 5.0/16-40-A,ONLINE SALE/STOLEN PROP/>$300,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-5-A-1,THEFT/COIN MACHINE/OPERATE     (ATTEMPT),Theft,Theft,Property offense,2
720 ILCS 5.0/16-5-A-2,THEFT/COIN MACHINE/COMMIT THFT,Theft,Theft,Property offense,2
720 ILCS 5.0/16-6-B-2,UNLWFL POSS THFT DETECT SHIELD DEVICE/COMMIT THEFT,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-6-B-3,POSS REMOVER/THEFT DETECT DEVICE,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-6-C-1,UNLAWFUL USE OF SCANNING DEVICE,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-7-A-1,UNLAWFUL USE RECORDED SOUND,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-7-A-2,UNLAWFUL USE REC SOUND/SELL,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-7-B,UNLWFL USE UNIDENTIFIED SOUND,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16-8,UNLAWFL USE/UNIDENTIFIED RECORDING,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/16A-10-2,THEFT<$150/PREV  FEL CONVIC,Theft,Theft,Property offense,2
720 ILCS 5.0/16A-3-A,RETAIL THEFT - SHOPLIFTING <$150,Retail theft,Retail theft,Property offense,2
720 ILCS 5.0/16B-2-A,LIBRARY THEFT/REMOVE/<$300,Theft,Theft,Property offense,2
720 ILCS 5.0/16G-15-A-2,IDENTITY THEFT/USES ID INFO,Identity theft,Identity theft,Property offense,2
720 ILCS 5.0/16G-15-A-4,ID THEFT/KNOW STOLEN,Identity theft,Identity theft,Property offense,2
720 ILCS 5.0/16G-20-A,AGG IDENT THEFT OVER 10K-100K,Identity theft,Identity theft,Property offense,2
720 ILCS 5.0/17-1-A-1,DECEPTION/THREAT EXECUTE,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-A-1,DECEPTION/THREAT EXECUTE (ATTEMPT),Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-A-1,DECEPTION/THREAT EXECUTE/>$150,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-A-3,DECEPTION/FALSE STATEMENT PUB,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-B-1,BAD CHECKS/OBTAIN CONTROL PROP,Issuing a bad check,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-1-B-1,BAD CHK/OBTAIN CON PROP/>150,Issuing a bad check,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-1-B-2,BAD CHECKS/>150 OWED ON CREDIT,Issuing a bad check,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-1-B-D,DECEPTIVE PRACTICE - BAD CHECK >150 OR 2ND OFFENSE,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-1,BANK FRAUD/FALSE STATEMENT,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-1,BANK FRAUD/FALSE STATEMENT (ATTEMPT),Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-1,DEFRAUD FINANCIAL INSTITUTION,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-1,FALSE STMT/DEFRAUD FIN INSTITUTION,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-2,BANK FRAUD/POSS STOLEN CHECK,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-2,FRAUD - USE ANOTHER'S CHECK/1ST,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-4,DECEPTIVE PRACTICE - POSSESS CASH DISPENSING CARD,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-1-C-4,DECEPTIVE PRACTICE - POSSESS CASH DISPENSING CARD (ATTEMPT),Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.5-A-1,INSURANCE FRAUD/$10K-$100K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-A,MISAPPR FIN INST PROP/$100-$500K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-A,MISAPPR FIN INST PROP/$10K-$100K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-A,MISAPPR FIN INST PROP/$500-$10K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-A,MISAPPR FIN INST PROP/$500-$1M,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-C-1,DEFRAUD FIN INST/$10K-$100K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-C-1,DEFRAUD FIN INST/$500-$10K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-C-1,DEFRAUD FINANCIAL INST/<$500,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-C-2,OBTAIN MONEY FIN INST/$10K-$100K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-C-2,OBTAIN MONEY FIN INST/$500-$10K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-D,LOAN FRAUD/FLS STMT/$10K-$100K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-D,LOAN FRAUD/FLS STMT/$500-$10K,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-F,FINANCIAL INSTITUTION ROBBERY,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-F,FINANCIAL INSTITUTION ROBBERY (ATTEMPT),Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-H,CONTINUING FIN CRIME ENTRPRS,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-10.6-I,ORGANIZER/FIN CRIME ENTRPRS,Financial instutition fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-11.5-A,TAMPER W/SEC  FIRE  LIFE SYS,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/17-2-A-1,FALSE PERSONATN/CHARITABLE ORG,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-1,FALSE PERSONATN/CHARITABLE ORG (SOLICITATION),False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-2,FALSE PERSONATN/VETERAN EMP,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-2,FALSE PERSONATN/VETERAN EMP (ATTEMPT),False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-2.5-A,FLS PERSONATION/INTIMIDATE,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-2.5-B,FLS PERSONATN/DEFRAUD ANOTHER,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-3,FALSE PERSONATN/PUB SFTY PERS,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-A-4,FALSE PERSONATN/PUB SFTY ORG,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B,UNAUTHORIZED WORDS (CHICAGO POLICE),False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-2,FALSE PERSONATN/EMP FED GOVT,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-2.3,FLS PERSONATN/EMP FED/FELONY,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-3,FLS PERSONATN/PEACE OFFICER,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-4,FLS PERSONATN/PC OFF/WEAPON,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-5,FALSE PERSONATN/PC OFF/FELONY,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-6,FLS PERSONATN/OFF/FORC FELONY,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-8,FALSE PERSONATION/FIREFIGHTER,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-2-B-9,FLS PERSONATN/FRFTR/DDLY WEAP,False personation,Identity theft,Property offense,2
720 ILCS 5.0/17-24-B,WIRE FRAUD,Wire fraud,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-3-A-1,FORGERY - MAKE/ALTER DOCUMENT,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-1,FORGERY/MAKE DOCUMENT/1 UPC,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-1,FORGERY/MAKE DOCUMENT/COIN,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-2,FORGERY - ISSUE/DELIVER DOCUMENT,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-2,FORGERY - ISSUE/DELIVER DOCUMENT (ATTEMPT),Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-2,FORGERY/ISSUE DOCUMENT/1 UPC,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-2,FORGERY/ISSUE DOCUMENT/COIN,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-3,FORGERY/POSSES W/INTENT TO DELIVER,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-3,FORGERY/POSSES W/INTENT TO DELIVER (ATTEMPT),Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-3,FORGERY/POSSESS DOCUMENT/1 UPC,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-3,FORGERY/POSSESS DOCUMENT/COIN,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-4,FORGERY - DIGITAL SIGNATURE VIOLATION,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-3-A-5,FORGERY - FORGERY/SIG DEVICE OF ANOTHER,Forgery,Forgery/bad checks,Property offense,2
720 ILCS 5.0/17-32-A,UNLAWFUL POSSESSION ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
720 ILCS 5.0/17-32-B,UNLAWFUL POSS CR/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-32-B,UNLWFL POSS 3+ CR/DEBIT CARDS,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-33,POSS 3+ LOST CREDIT/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-33,POSSESS LOST CREDIT/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-34,UNLWFL PURCHASE CR/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-35,USE CREDIT/DEBIT CARD/SECURITY,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-35,USE CREDIT/DEBIT CARD/SECURITY (ATTEMPT),Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-36,USE FORGED CR/DEBIT CARD/<$300,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-36,USE FORGED CR/DEBIT CARD/>$300,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-37,FRAUD USE CR/DEBIT CARD/<$150,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-37,FRAUD USE CR/DEBIT CARD/<$150 (ATTEMPT),Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-37,FRAUD USE CR/DEBIT CARD/>$150,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-38-A,USE OF ACCT NUMBER/CODE/<$150,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-38-A,USE OF ACCT NUMBER/CODE/>$150,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-39,RECEIPT  GOODS/SERVICES/<$150,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/17-39,RECEIPT GOODS/SERVICES/>$150,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/17-41-A-I,ALTER CREDIT/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-41-A-II,COUNTERFIET CREDIT/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-42,POSS INCOMPLETE CR/DEBIT CARD,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-48,CREDIT/DEBIT CARD FRAUD/2+,Credit card farud,Credit card fraud,Property offense,2
720 ILCS 5.0/17-5-E,DECEP COLL/ACCEPT MONEY NOT OWED,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-5.7-A,DECEPTIVE ADVERTISING/EMPLOYEE,Deceptive practices,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-50-A-1,COMPUTER FRAUD/ACCESS DATA,Obtain unauthorized computer data,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-51-A-2,COMPUTER TAMPERING/OBTAIN DATA,Obtain unauthorized computer data,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-52-A-1,AGG COMP TAMP/DISRUPT SERVICE,Obtain unauthorized computer data,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLOIT ELDERLY/70+/$15K+,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLOIT ELDERLY/80+/$5K+,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLOIT ELDERLY/DISABL/$300-5K,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLOIT ELDERLY/DISABLED/<$300,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLT ELD/DISABL/$5K-$50K,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-56-A,FIN EXPLT ELD/DISABLED/$50K+,Financial exploitation of an elderly person,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-57-A-1,MANUF/SELL/GIVE SYN/HUMAN SUB,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/17-57-A-2,ATTMPT FOIL/DEFEAT SCREEN TEST,Defrauding drug and alcohol screen,Other fraud offenses,Property offense,2
720 ILCS 5.0/17-57-A-2,ATTMPT FOIL/DEFEAT SCREEN TEST (ATTEMPT),Defrauding drug and alcohol screen,Other fraud offenses,Property offense,2
720 ILCS 5.0/18-1-A,ROBBERY,Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-1-A,ROBBERY (ATTEMPT),Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-1-A,ROBBERY/VIC HANDICAP OR 60+ YR,Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-1-A,ROBBERY/VIC HANDICAP OR 60+ YR (ATTEMPT),Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR,Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR  (ATTEMPT),Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-2-A-1,ROBBERY - ARMED - OTHER DANGEROUS WEAPON,Armed robbery,Armed robbery,Person offense,1
720 ILCS 5.0/18-2-A-1,ROBBERY - ARMED - OTHER DANGEROUS WEAPON (ATTEMPT),Armed robbery,Armed robbery,Person offense,1
720 ILCS 5.0/18-2-A-2,ROBBERY - ARMED W/ FIREARM,Armed robbery with a firearm,Armed robbery with a firearm,Person offense,1
720 ILCS 5.0/18-2-A-2,ROBBERY - ARMED W/ FIREARM (ATTEMPT),Armed robbery with a firearm,Armed robbery with a firearm,Person offense,1
720 ILCS 5.0/18-2-A-3,ROBBERY - ARMED - DISCHARGE FIREARM,Armed robbery with a firearm,Armed robbery with a firearm,Person offense,1
720 ILCS 5.0/18-2-A-3,ROBBERY - ARMED - DISCHARGE FIREARM (ATTEMPT),Armed robbery with a firearm,Armed robbery with a firearm,Person offense,1
720 ILCS 5.0/18-2-A-4,ROBBERY - ARMED - DISCHARGE FIREARM/BODILY HARM,Armed robbery with a firearm,Armed robbery with a firearm,Person offense,1
720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,Vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING (ATTEMPT),Vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-1,VEHICULAR HIJACKING - AGG - HANDICAPPED,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-1,VEHICULAR HIJACKING - AGG - HANDICAPPED (ATTEMPT),Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-2,VEHICULAR HIJACKING - AGG - PASSENGER UNDER 16,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-2,VEHICULAR HIJACKING - AGG - PASSENGER UNDER 16 (ATTEMPT),Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-3,VEHICULAR HIJACKING - AGG - WEAPON,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-3,VEHICULAR HIJACKING - AGG - WEAPON (ATTEMPT),Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-4,VEHICULAR HIJACKING - AGG - FIREARM,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-4,VEHICULAR HIJACKING - AGG - FIREARM (ATTEMPT),Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-5,VEHICULAR HIJACKING - AGG - DISCHARGE/FIREARM,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-5,VEHICULAR HIJACKING - AGG - DISCHARGE/FIREARM (ATTEMPT),Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-4-A-6,VEHICULAR HIJACKING - AGG - DISCHGE/FIREARM/HARM,Aggravated vehicular hijacking,Vehicular hijacking/aggravated vehicular hijacking,Person offense,1
720 ILCS 5.0/18-5-A,ROBBERY -  AGGRAVATED,Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-5-A,ROBBERY -  AGGRAVATED (ATTEMPT),Robbery,Robbery/aggravated robbery,Person offense,1
720 ILCS 5.0/18-6-A,UNLAWFUL VEHICULAR INVASION,Vehicular invasion,Vehicular invasion/trespass to vehicle,Property offense,2
720 ILCS 5.0/19-1-A,BURGLARY,Burglary,Burglary,Property offense,2
720 ILCS 5.0/19-1-A,BURGLARY (ATTEMPT),Burglary,Burglary,Property offense,2
720 ILCS 5.0/19-1-A,BURGLARY W/O CAUSING DAMAGE,Burglary,Burglary,Property offense,2
720 ILCS 5.0/19-1-A,BURGLARY/SCH/DAY CARE/WORSHIP,Burglary,Burglary,Property offense,2
720 ILCS 5.0/19-1-A,BURGLARY/SCH/DAY CARE/WORSHIP (ATTEMPT),Burglary,Burglary,Property offense,2
720 ILCS 5.0/19-2-A,BURGLARY - POSSESSION OF BURGLARY TOOLS,Possession of burglary tools,Other property offense,Property offense,2
720 ILCS 5.0/19-2-A-5,POSS BURGLARY TOOLS/ MTR VEH,Possession of burglary tools,Other property offense,Property offense,2
720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL,Residential burglary,Residential burglary,Property offense,2
720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL (ATTEMPT),Residential burglary,Residential burglary,Property offense,2
720 ILCS 5.0/19-3-A-5,RESIDENTIAL BURGLARY/FALSE REP,Residential burglary,Residential burglary,Property offense,2
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,Criminal trespass to a residence,Criminal trespass to a residence/property,Property offense,2
720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE (ATTEMPT),Criminal trespass to a residence,Criminal trespass to a residence/property,Property offense,2
720 ILCS 5.0/19-4-A-2,CRIM TRESPASS TO RESIDENCE - KNOW OF PERSONS PRESENT,Criminal trespass to a residence,Criminal trespass to a residence/property,Property offense,2
720 ILCS 5.0/19-4-A-2,CRIM TRESPASS TO RESIDENCE - KNOW OF PERSONS PRESENT (ATTEMPT),Criminal trespass to a residence,Criminal trespass to a residence/property,Property offense,2
720 ILCS 5.0/19-5-A,CRIM FORTIFICATION OF RESIDENCE/BLDG,Criminal fortification of a residence,Other property offense,Property offense,2
720 ILCS 5.0/19-6-A-1,HOME INVASION/DANGEROUS WEAPON,Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-1,HOME INVASION/DANGEROUS WEAPON (ATTEMPT),Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-2,HOME INVASION/CAUSE INJURY,Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-2,HOME INVASION/CAUSE INJURY (ATTEMPT),Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-3,HOME INVASION/FIREARM,Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-4,HOME INVASION/DISCHARGE FIREARM,Home invasion with a firearm,Home invasion with a firearm,Property offense,2
720 ILCS 5.0/19-6-A-5,HOME INVASION/GREAT BOD HARM,Home invasion,Home invasion,Property offense,2
720 ILCS 5.0/19-6-A-6,HOME INVASION/SEX OFFENSE,Home invasion,Home invasion,Property offense,2
720 ILCS 5.0/20-1-A,ARSON - DAMAGE REAL PERSONAL  PROPERTY>150,Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1-A-1,ARSON/REAL/PERSONAL PROP>$150,Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1-A-1,ARSON/REAL/PERSONAL PROP>$150  (ATTEMPT),Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1-A-2,ARSON/DEFRAUD INS CO/>$150,Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1-B,RESIDENTIAL ARSON,Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1-B,RESIDENTIAL ARSON              (ATTEMPT),Arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1.1-A-1,ARSON - AGG ARSON/KNOW PERSON PRESENT,Aggravated arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1.1-A-1,ARSON - AGG ARSON/KNOW PERSON PRESENT (ATTEMPT),Aggravated arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1.1-A-2,ARSON - AGG ARSON/BODILY HARM,Aggravated arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1.1-A-2,ARSON - AGG ARSON/BODILY HARM (ATTEMPT),Aggravated arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-1.2-A,ARSON - RESIDENTIAL ARSON,Aggravated arson,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/20-2-A,POSS.EXPLOSIVE/INCENDIARY DEVICE,Possession of explosives,Arson/possession of explosives,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIM DAMAGE PROP-KNOWINGLY DAMAGE <$300,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIM DAMAGE PROP-KNOWINGLY DAMAGE <$300 (ATTEMPT),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIM DAMAGE PROP-KNOWINGLY DAMAGE <$300 (SOLICITATION),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIM DAMAGE PROP-KNOWINGLY DAMAGE PROP >$300 <$10K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIMINAL DAMAGE PROP - KNOWINGLY DMG PROP/SCHOOL <$300,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,CRIMINAL DAMAGE TO PROPERTY $10K-$100K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,KNOW DAMAGE PROP>$10K-$100K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-A,KNOWINGLY DAMAGE PROPERTY > $100K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-B,RECKLESS DAMAGE TO PROP/<$300,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-1-F,OTHER DAMAGE/<$300,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300  (ATTEMPT),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300  (CONSPIRACY),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300  (SOLICITATION),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500 (ATTEMPT),Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE/<$300/MEMORIAL,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE/<$500/MEMORIAL,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE/$300-10K/SCHOOL,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE/$500-10K/SCHOOL,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DAMAGE/PROPERTY/>$100K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
